strain,carbon_source,rna_to_protein,mass_frac,growth_rate_hr,estimated_nu_inv_hr
ECOR02,LB,0.65485095670282,0.298481066065145,2.6454,17.3980413897669
ECOR02,LB,0.65485095670282,0.298481066065145,2.79,18.349456758409545
ECOR02,Glu+CAA+ACGU,0.55673391477896,0.25375931835625,1.882,9.55581335213589
ECOR02,Glu+CAA,0.365034285029984,0.166382627116667,1.3306,4.674867368335509
ECOR02,Glucose,0.356414182120292,0.162453584210429,1.0029,3.4748497302429397
ECOR02,Glycerol,0.320541306538864,0.146102727520414,0.738,2.419041781515944
ECOR02,Glycerol,0.320541306538864,0.146102727520414,0.7447,2.4410243134091956
ECOR02,Acetate,0.266042875327026,0.121262342574058,0.426,1.2902360829526844
ECOR02,Acetate,0.266042875327026,0.121262342574058,0.3721,1.1266871041624573
ECOR39,LB,0.6013674744951,0.274103294874867,2.5251,14.305535587969603
ECOR39,Glu+CAA+ACGU,0.533527554543871,0.243181859361096,1.7369,8.367849263608113
ECOR39,Glu+CAA,0.44791678772165,0.204160471843528,1.2131,4.916080366682976
ECOR39,Glucose,0.34849973140028,0.158846177572248,0.8767,2.9996939768355873
ECOR39,Glucose,0.34849973140028,0.158846177572248,0.86555,2.961511169589036
ECOR39,Glycerol,0.27094349851218,0.123496046621852,0.8099,2.471424984079528
ECOR39,Glycerol,0.27094349851218,0.123496046621852,0.78965,2.4095906214588165
ECOR39,Acetate,0.187951360222549,0.0856682299894378,0.313,0.8554308568652033
ECOR39,Acetate,0.187951360222549,0.0856682299894378,0.3328,0.9096300883574048
ECOR55,LB,0.610233143883939,0.278144266982299,2.43725859,14.13224883653406
ECOR55,LB,0.610233143883939,0.278144266982299,2.4897,14.43646369278161
ECOR55,Glu+CAA+ACGU,0.501907606575932,0.22876948707731,1.8468,8.318241243406186
ECOR55,Glu+CAA,0.392562230547846,0.178929864683708,1.1796,4.3356984527912985
ECOR55,Glucose,0.263086059270747,0.119914625815606,0.3695,1.1142568273413551
ECOR55,Glycerol,0.248458415812323,0.113247345927257,0.5708,1.6884408116731415
ECOR55,Glycerol,0.248458415812323,0.113247345927257,0.59375,1.7563922703541566
ECOR55,Acetate,0.237491718832745,0.108248725443965,0.3578,1.042294944791282
ECOR59,LB,0.602538725173458,0.274637150934062,2.3439,13.318947155694602
ECOR59,LB,0.602538725173458,0.274637150934062,2.558,14.536110416711727
ECOR59,Glu+CAA+ACGU,0.469071657829158,0.21380286163853,1.8393,7.75975416283147
ECOR59,Glu+CAA,0.410894213327445,0.187285582434649,1.3245,5.023346830381937
ECOR59,Glucose,0.298335690575073,0.135981407764118,0.8237,2.6133287860892063
ECOR59,Glucose,0.298335690575073,0.135981407764118,0.80435,2.55189203823472
ECOR59,Glycerol,0.250190326856305,0.114036750981104,0.6166,1.8283214693061354
ECOR59,Glycerol,0.250190326856305,0.114036750981104,0.62555,1.8548826818871396
ECOR59,Acetate,0.245093146326449,0.111713456095595,0.3955,1.164063292235449
ECOR63,LB,0.603980606175833,0.275294360294945,2.5089,14.310594137175437
ECOR63,LB,0.603980606175833,0.275294360294945,2.67355,15.250148930890644
ECOR63,Glu+CAA+ACGU,0.461277925046664,0.210250478236269,1.508,6.26718228520467
ECOR63,Glu+CAA,0.311768684864389,0.142104166561189,0.8888,2.876011589927206
ECOR63,Glucose,0.20229209621003,0.0922047374525317,0.3106,0.8642571981991304
ECOR63,Glycerol,0.26631960955255,0.121388478034052,0.7523,2.2808453520935936
ECOR63,Glycerol,0.26631960955255,0.121388478034052,0.7247,2.197106528856676
ECOR63,Acetate,0.216157270662184,0.0985244839678235,0.3649,1.0337745936213145
ECOR63,Acetate,0.216157270662184,0.0985244839678235,0.365,1.0340583451358958
NCM3722,LB,0.676697063367667,0.308438521482983,2.7717,19.511008103017737
NCM3722,Glu+CAA+ACGU,0.544855051866111,0.248344932640573,1.9091,9.433333105001937
NCM3722,Glu+CAA,0.42725719480739,0.194743829393208,1.3133,5.126253155802183
NCM3722,Glucose,0.324733350796657,0.148013461293116,0.9663,3.1880679267835332
NCM3722,Glucose,0.324733350796657,0.148013461293116,0.9555,3.15241220701933
NCM3722,Glycerol,0.25790790155231,0.117554421527543,0.7107,2.1298326469661593
NCM3722,Glycerol,0.25790790155231,0.117554421527543,0.7165,2.1472269985025743
NCM3722,Acetate,0.184967988578829,0.0843084091942303,0.4633,1.262101185743795
NCM3722,Acetate,0.184967988578829,0.0843084091942303,0.47375,1.290592643027657
Isolate_1,LB,0.569043632980735,0.259370087912619,2.71896794,14.214067870162184
Isolate_1,LB,0.573656183501964,0.261472488440195,2.72343552,14.396160785370629
Isolate_1,Glu+CAA+ACGU,0.569551087316529,0.259601385598874,1.782,9.325263730038403
Isolate_1,Glu+CAA+ACGU,0.559123192086498,0.254848350953026,1.8,9.190201956328494
Isolate_1,Glu+CAA,0.491174416804186,0.223877299179348,1.35,5.947966257455687
Isolate_1,Glu+CAA,0.426107033218441,0.194219585740965,1.392,5.422511685584989
Isolate_1,Glucose,0.349785664031975,0.159432305665774,0.90323407,3.0967832940512903
Isolate_1,Glucose,0.339715892746488,0.154842503913849,0.90254957,3.0463858654351217
Isolate_1,Glycerol,0.285853222841382,0.130291898971102,0.696,2.168661625670271
Isolate_1,Glycerol,0.218334702565225,0.0995169574292296,0.702,1.9956967360833688
Isolate_1,Acetate,0.250295377377987,0.114084633008886,0.41468015,1.2291852826280334
Isolate_1,Acetate,0.271848547925801,0.12390856814458,0.32469169,0.9907031966489492
